,train_loss
0,7.030078994230005
1,2.70313882022884
2,2.5492817235878977
3,2.481765416758391
4,2.4299808599649584
5,2.4002284948325836
6,2.3626686411249636
7,2.337219645922716
8,2.2912171548529865
9,2.2732728439019145
10,2.2509457570899594
11,2.206297877678331
12,2.1883726207979066
13,2.170041296140924
14,2.1319358199242937
15,2.114426120022562
16,2.097325803171207
17,2.0645009722964356
18,2.0384998492938036
19,2.023042479410567
20,1.9946399146383578
21,1.9835224198074966
22,1.9484575569160234
23,1.9290951172155273
24,1.9095335825422723
25,1.9025262056984946
26,1.8677851040642584
27,1.8613177175543363
28,1.8282799242683023
29,1.8246244089409076
30,1.7924762184425485
31,1.7718465187277455
32,1.7727949039502702
33,1.7475919954851131
34,1.7282199022884348
35,1.7118210660782867
36,1.6959849367163886
37,1.6825837264359276
38,1.6703932546707543
39,1.648242127795855
40,1.6468256576833222
41,1.6270078179339569
42,1.6148725353148372
43,1.5963642076474376
44,1.585979303742443
45,1.5676456956620257
46,1.5529331941161852
47,1.5405203917250527
48,1.5349429481226102
49,1.5219282846817517
50,1.506576726102515
51,1.4968772371305499
52,1.487827828006067
53,1.46977980667971
54,1.4693191834909705
55,1.4514085591051695
56,1.4484559458595452
57,1.4343755802989684
58,1.4261235461560329
59,1.4124976518115775
60,1.405096038310113
61,1.4000729669543646
62,1.3865452993266396
63,1.3786174680550942
64,1.3739051011917676
65,1.36697972126394
66,1.357872060715995
67,1.349054258003299
68,1.3429616853318755
69,1.3354865453352425
70,1.326032398440898
71,1.3130004867343332
72,1.3116659893371847
73,1.3028623597239253
74,1.2977688913307528
75,1.2922217231251347
76,1.2845663854446585
77,1.280943995928353
78,1.2769533794927164
79,1.2682163707784593
80,1.2647480954194557
81,1.2629209555433318
82,1.2596591896020652
83,1.2463947325447626
84,1.244448057558712
85,1.240763692293998
86,1.2373288977977188
87,1.2284005203405437
88,1.2245214119945025
89,1.2246973079444652
90,1.2193632628272002
91,1.2152864509590022
92,1.2077760355163236
93,1.2080314712683615
94,1.2002405205617588
95,1.2010498979524793
96,1.2027751180797155
97,1.1928738795357168
98,1.1928300252846677
99,1.185902236203634
