,train_loss
0,7.76303689391664
1,2.7915214799274652
2,2.599929636646049
3,2.5383003630422003
4,2.4758588165407565
5,2.437194027739408
6,2.4104285715772833
7,2.372461926537017
8,2.338241714012052
9,2.3061002493942575
10,2.3032467772929994
11,2.258131798603092
12,2.2305237904758686
13,2.215271462391188
14,2.1865681442285307
15,2.157134970379736
16,2.1242977230529236
17,2.117655995805759
18,2.102611419826473
19,2.0576974478875263
20,2.0446641881162018
21,2.030503005573173
22,2.0048774642597165
23,1.982075415059755
24,1.964061090440283
25,1.9435912364865529
26,1.928353609431754
27,1.907041049380775
28,1.8827145936433372
29,1.858854135678479
30,1.8411964760041606
31,1.8416372138584038
32,1.8197410506549476
33,1.7882931130541013
34,1.7776150554088097
35,1.7603102716775987
36,1.7438553674121595
37,1.7417655332310191
38,1.7079268781539536
39,1.6984389095902668
40,1.6865366468343712
41,1.6809106301452954
42,1.6520099407791564
43,1.6387101751178086
44,1.6285092453464438
45,1.611937073534198
46,1.5924896316734494
47,1.5928886255817205
48,1.57425010687043
49,1.5607448677767328
50,1.5515572855217317
51,1.5367949376793948
52,1.5288696747624544
53,1.5220265050873052
54,1.5026620708072689
55,1.4899927926150096
56,1.4809191915663957
57,1.4719166765340617
58,1.458600589973786
59,1.44221597177219
60,1.441462024088971
61,1.4311993984851945
62,1.4317880945384445
63,1.4134893184199888
64,1.4068938653087564
65,1.3911218488509953
66,1.3838439324309737
67,1.3797090330789028
68,1.3729329575078084
69,1.3656315914760853
70,1.356626128515109
71,1.3471784354952137
72,1.337249389047928
73,1.3333634355990853
74,1.3263519201389449
75,1.3198111284212521
76,1.3124425641915383
77,1.306294745492455
78,1.2956052312729849
79,1.2925111943025398
80,1.2892559284061185
81,1.283226185389151
82,1.2697302075038515
83,1.273524953439202
84,1.264516846627957
85,1.2553406473267372
86,1.2557983245237514
87,1.2475054718243992
88,1.2429704544525537
89,1.239952903339631
90,1.233613493504301
91,1.2291704353275619
92,1.2249048668325417
93,1.2214247244719953
94,1.212940644321373
95,1.210275139848683
96,1.2083360085834303
97,1.2080192776242378
98,1.1955170510344866
99,1.1970392013217703
