
Dispositivo usado pelo Pytorch: cuda

Features usadas: Felipe

*****************************************

-----> GRID 0:   hyperparameters
0             100
1            adam
2              32
3             0.5
4          0.0001
5             0.7

 LSTM =True


 option_overlap=True , option_causal=False ,option_dropout_lstm=0.7



--> Fold: 0

Format of train data: frames: 118655 , pressures: 118655 

Format of validation data: frames: 48176 , pressures: 48176 

Option shuffle: True

Begin of training: 2022-09-13 20:45:41

Epoch,train_loss,val_loss,lr
1,5.519881673271308,2.1837100138976226,0.0001
2,2.5759858788082037,2.2860818426302605,0.0001
3,2.2709476192231315,2.293566968266016,0.0001
4,1.976915351724932,2.161159040919177,0.0001
5,1.6392086785329207,2.133202381048516,0.0001
6,1.3554382720390838,2.3584915250292333,0.0001
7,1.1921890966961866,2.3486642694204045,0.0001
8,1.1328969178793127,2.2886429002458413,0.0001
9,1.1013549712071864,2.4555733565752074,0.0001
10,1.0749073967399772,2.1963340272067273,0.0001
11,1.0534126567145343,2.39357282576154,0.0001
12,1.0387151101467296,2.4431885840369394,0.0001
13,1.0212377252060727,2.655583939929216,0.0001
14,1.0060864106537113,2.1495748434063606,0.0001
15,0.9948070825911981,2.6513336289962317,0.0001
16,0.9815995789685386,2.4084897696160272,0.0001
17,0.9751231520080792,2.5063929083892886,0.0001
18,0.9598924953161623,2.3448380062010785,0.0001
19,0.9459910636996858,2.4642734665761394,0.0001
20,0.9385611819053519,2.3545935132185987,0.0001
21,0.9327559014356501,2.561882324925058,0.0001
22,0.9272424994942251,2.3583577458781684,0.0001
23,0.9205621823665341,2.172300313327527,0.0001
24,0.9099317123656236,2.164770416586314,0.0001
25,0.9049530391310134,2.268732566447085,0.0001
26,0.8981172573540818,2.781006670599956,0.0001
27,0.891898122281282,2.564140681886309,0.0001
28,0.8831353949162266,2.4223719634553675,0.0001
29,0.8756299554259319,2.2008764233077653,0.0001
30,0.8728861645211322,2.4690605270153894,0.0001
31,0.865556922837408,1.9658729854274613,0.0001
32,0.8599725215033461,2.215801910125152,0.0001
33,0.8553785398361993,2.006795434649305,0.0001
34,0.8493075090299379,2.5114553955772396,0.0001
35,0.8456740723702213,2.480871653921063,0.0001
36,0.8391431231875671,2.117178656381058,0.0001
37,0.8343292450503982,2.108569677348788,0.0001
38,0.8300536876592628,2.152281273840591,0.0001
39,0.8251274846476302,2.3512242202226683,0.0001
40,0.8207238853954796,2.110793350840359,0.0001
41,0.8134405632717491,2.1503893051065113,0.0001
42,0.8115929586487199,2.4059185271087338,0.0001
43,0.8053806483280914,2.18589070551184,0.0001
44,0.8009366834039588,2.2299299950973412,0.0001
45,0.797870833159126,2.225002914162341,0.0001
46,0.7920498947956374,2.120897764899888,0.0001
47,0.7874768169714604,2.396969059067127,0.0001
48,0.7835131664030179,2.5284306628487903,0.0001
49,0.7823058656839227,2.4674110707156647,0.0001
50,0.7782958085387461,2.421202924195337,0.0001
51,0.7714135505415075,2.215069933137162,0.0001
52,0.7685997088505734,2.1842914166461584,0.0001
53,0.7671681403626504,2.2168480953240626,0.0001
54,0.7633861393980972,2.013794187175519,0.0001
55,0.756428296893231,2.376872984130135,0.0001
56,0.7572496164362971,2.763465594825694,0.0001
57,0.750875531979595,2.7479735120749877,0.0001
58,0.7473742579324755,2.2379376059234124,0.0001
59,0.7440830686401715,2.4338527662498297,0.0001
60,0.7411274819916909,2.413510069780594,0.0001
61,0.7358249376711906,2.2789850838752095,0.0001
62,0.7327767620531338,2.482883885309808,0.0001
63,0.7313106813481421,2.8881595129588242,0.0001
64,0.725389654647133,2.7767254301813584,0.0001
65,0.7259281622974687,2.119090508638684,0.0001
66,0.7234377684725717,2.1641255216874065,0.0001
67,0.7195509853709046,2.0296452826972184,0.0001
68,0.7175253025605652,2.178657680007557,0.0001
69,0.714460973190119,2.1128418076200686,0.0001
70,0.7106837264923143,2.3701021615471487,0.0001
71,0.7075185419796722,2.3823649783500285,0.0001
72,0.7058656247430413,2.352799592798867,0.0001
73,0.7017615480371936,2.793151313345601,0.0001
74,0.6992917427285864,3.278308878860296,0.0001
75,0.696754554683774,2.7848596799337995,0.0001
76,0.6951693435589537,2.8579669656725035,0.0001
77,0.6910501065886552,2.7304207602437254,0.0001
78,0.6886678556893399,2.3396435030589107,0.0001
79,0.6871862686708671,2.367257271878785,0.0001
80,0.6879133927988386,2.6938206322840066,0.0001
81,0.6810313176201547,2.7861733422925488,0.0001
82,0.6817295532120871,2.447740708463258,0.0001
83,0.6761885606003322,2.771118530360855,0.0001
84,0.6715927773071327,2.3216549235299273,0.0001
85,0.6721940050514533,1.909858859286123,0.0001
86,0.6681648427218112,2.400184915058639,0.0001
87,0.6666157783363769,2.567638104716554,0.0001
88,0.6683674181895614,2.684761662730265,0.0001
89,0.6673814176202026,2.572689461771415,0.0001
90,0.6606504461378089,2.60295365993781,0.0001
91,0.6615002878212777,2.511864664070791,0.0001
92,0.6586199983333417,2.819936739175037,0.0001
93,0.6538801600086539,2.414904458306628,0.0001
94,0.6548689510908597,2.7027021918491605,0.0001
95,0.6539969104439765,2.3179679091924528,0.0001
96,0.6498944145303667,2.666617023394536,0.0001
97,0.6486295580806184,3.18063205478596,0.0001
98,0.645402683856228,2.558140941491281,0.0001
99,0.6382404039694864,2.5513223866931787,0.0001
100,0.6413678530407265,2.468331606393635,0.0001
End of training: 2022-09-13 21:26:25

Loss min training: 0.6382404039694864

Loss min val: 1.909858859286123

Best epoch: 85

Correlação: (0.498219882694309, 0.0)




--> Fold: 1

Format of train data: frames: 122682 , pressures: 122682 

