
Dispositivo usado pelo Pytorch: cuda:3

Features usadas: Felipe

*****************************************

-----> GRID 5:   hyperparameters
0             100
1            adam
2              32
3             0.7
4          0.0001
5             0.5

 LSTM =True


 option_overlap=True , option_causal=False ,option_dropout_lstm=0.5



--> Fold: 0

Format of train data: frames: 118655 , pressures: 118655 

Format of validation data: frames: 48176 , pressures: 48176 

Option shuffle: True

Begin of training: 2022-12-14 04:21:58

Epoch,train_loss,val_loss,lr
1,9.493236957710153,1.6119403810803576,0.0001
2,4.33464658663721,1.6230040769250795,0.0001
3,4.115155634145249,1.5161218854209901,0.0001
4,3.970813305383687,1.627930079869201,0.0001
5,3.853822313701904,1.5487509368860377,0.0001
6,3.7455334412544747,1.6371837347617224,0.0001
7,3.6359304093183313,1.6267219752578077,0.0001
8,3.5455756388071853,1.5990132208838095,0.0001
9,3.4453981615861986,1.5558956161522461,0.0001
10,3.3434273944150825,1.4656228215462423,0.0001
11,3.2591685055792246,1.7134444661332064,0.0001
12,3.1809426656841735,1.5798396516661832,0.0001
13,3.0959905223545836,1.6012437433469577,0.0001
14,2.989123308411953,1.6913162284378829,0.0001
15,2.9263644673199303,1.5585062952779607,0.0001
16,2.837050566816545,1.743594368681564,0.0001
17,2.7674802492413466,1.6805605232339489,0.0001
18,2.6971576256595484,1.61938827863685,0.0001
19,2.621973213840639,1.5932147513984722,0.0001
20,2.541135043056257,1.6846575628519453,0.0001
21,2.465285865371696,1.703875446945122,0.0001
22,2.4135280542722075,1.6897045579791188,0.0001
23,2.3485128735015084,1.685133855551115,0.0001
24,2.277724837305412,1.79162281337904,0.0001
25,2.2143403278028693,1.7818718435201324,0.0001
26,2.149514461324196,1.785713249288576,0.0001
27,2.094207621291848,1.9075510177213224,0.0001
28,2.0426781376365324,1.7427543706372899,0.0001
29,1.9789274721731152,1.7938065158295418,0.0001
30,1.9179863377571065,1.8815186759317803,0.0001
31,1.8925222922554963,1.6464761212512689,0.0001
32,1.8105225014503734,1.9381946797229965,0.0001
33,1.7686994135291882,1.68064115309549,0.0001
34,1.730440373495262,1.7366870507889909,0.0001
35,1.6743195208037962,1.887507859673147,0.0001
36,1.6227652561809756,1.7601533847091126,0.0001
37,1.5890990674935241,1.8558560243598332,0.0001
38,1.544307128433974,1.8843790007682784,0.0001
39,1.4942300612101347,1.8729128822738725,0.0001
40,1.4430138125049294,1.8696942145703284,0.0001
41,1.4219623937080765,2.017815301878355,0.0001
42,1.36381496009983,1.9472743811618447,0.0001
43,1.3365696228684278,1.9559688020963995,0.0001
44,1.3021874256097061,2.0621037306638303,0.0001
45,1.2644626726800174,1.778187900435208,0.0001
46,1.2221796506746525,1.9986086206078253,0.0001
47,1.1874163218853844,2.113855717547191,0.0001
48,1.168521775565795,1.8014450651670524,0.0001
49,1.1285970913826864,1.8237947555761802,0.0001
50,1.0970385028269984,2.0778163251826154,0.0001
51,1.080121587937392,1.977458064360541,0.0001
52,1.0482578970941792,2.148617874780235,0.0001
53,1.0162489753964827,1.9476549951232813,0.0001
54,0.9932128921194487,1.9275157491616812,0.0001
55,0.9680736404143223,2.0650888599853743,0.0001
56,0.9471463514144911,2.0756834311486876,0.0001
57,0.9237336556200463,2.1723343332674525,0.0001
58,0.9022995370040475,2.104812388679824,0.0001
59,0.8852297402072217,2.0672592144398863,0.0001
60,0.8645344299636334,2.255422686509063,0.0001
61,0.8408132358591172,2.141564928824147,0.0001
62,0.8323797511057809,1.8344317951775675,0.0001
63,0.8112984574452438,2.1977964910072014,0.0001
64,0.792736912125819,2.013175510916746,0.0001
65,0.7770642226215841,2.1193092124321975,0.0001
66,0.7684193832539441,2.0315115685005276,0.0001
67,0.7500967876434748,1.9481357091370313,0.0001
68,0.7361619066626448,2.1655063344093306,0.0001
69,0.7239042139034256,2.124815340772177,0.0001
70,0.711228425769216,2.3253091710305065,0.0001
71,0.6940111441380366,2.0714196994113827,0.0001
72,0.6895641780583779,2.0673449312638934,0.0001
73,0.6815454873337033,2.3751811166808916,0.0001
74,0.6630406113328657,2.2337265914161906,0.0001
75,0.6611051685569671,2.125939952578904,0.0001
76,0.6509948009039307,2.1132283253117046,0.0001
77,0.6387902513350474,2.0600288565948293,0.0001
78,0.632853641802771,2.263922521934205,0.0001
79,0.6256340462531238,2.2948920977784724,0.0001
80,0.615588301348629,2.202979612136671,0.0001
81,0.6095868071278642,2.2811731792137655,0.0001
82,0.604672504060112,2.138629050121795,0.0001
83,0.5977102648555833,2.2624234334450946,0.0001
84,0.591945289994335,2.107219645209742,0.0001
85,0.5785296130193419,2.2269519258281867,0.0001
86,0.5767520630054732,2.200910746675122,0.0001
87,0.5700181669626991,2.420116594209104,0.0001
88,0.5687118664999877,2.44047937322716,0.0001
89,0.5596047428644771,2.2308253038369,0.0001
90,0.5552710948023672,2.2858555709274455,0.0001
91,0.5498329684748008,2.6308854193198092,0.0001
92,0.5444950806288827,2.2131054536007997,0.0001
93,0.5457057809328381,2.1002720176718315,0.0001
94,0.5358516794564444,2.0750833410078093,0.0001
95,0.5315614531630537,2.2403570229094196,0.0001
96,0.5306134904091762,2.272813170623716,0.0001
97,0.5256011675328542,2.1898555202525305,0.0001
98,0.519367595554016,2.072407035921072,0.0001
99,0.5144959570092541,2.2314801268781865,0.0001
100,0.517561715116674,2.37406861877093,0.0001
End of training: 2022-12-14 05:04:31

Loss min training: 0.5144959570092541

Loss min val: 1.4656228215462423

Best epoch: 10

Correlation: (0.5123284132949034, 0.0)




--> Fold: 1

Format of train data: frames: 122682 , pressures: 122682 

