,train_loss
0,8.42422887859033
1,2.769819226928272
2,2.567261598650798
3,2.5143957515903668
4,2.4548341615120153
5,2.4233710517457228
6,2.3740310651403305
7,2.33774642825527
8,2.3195895764917673
9,2.2681767812624747
10,2.2387102111786463
11,2.2309662440358906
12,2.1888669947837465
13,2.1569421861522375
14,2.142872538578135
15,2.1195099734034675
16,2.085313551099861
17,2.07711838784464
18,2.054857631602306
19,2.022985305481103
20,2.0032336477915647
21,1.9823855321314021
22,1.9638949899108096
23,1.934992891857794
24,1.9171134170364479
25,1.8904909093836402
26,1.88412726584295
27,1.862355369597145
28,1.848166919713615
29,1.8267862797565575
30,1.8024550173623965
31,1.7847378022017297
32,1.7738770542019635
33,1.7469072827005687
34,1.7371955245321247
35,1.7258001250102633
36,1.6997809028519342
37,1.687476777356276
38,1.6680042929419556
39,1.6511554974331983
40,1.637306298368249
41,1.6176196154342875
42,1.6151415957740105
43,1.5879183941033448
44,1.5836722929068192
45,1.563404153546607
46,1.5564052875662264
47,1.5424212709903755
48,1.5346579644993432
49,1.5193161748046475
50,1.4999116615793588
51,1.493228068680798
52,1.4846307674423005
53,1.4732297654860673
54,1.4611994037700426
55,1.4521906807880183
56,1.438421252499537
57,1.4277358877987525
58,1.4175575364523358
59,1.4125049676037036
60,1.4001203100876651
61,1.3935261219542054
62,1.3837462617337382
63,1.3698588255298498
64,1.3624316605210238
65,1.353073079271502
66,1.3459460040949978
67,1.330332847126832
68,1.3345682712567
69,1.3290278169910097
70,1.3098851236302267
71,1.3079400521204414
72,1.2989542167558992
73,1.2952342402662214
74,1.2882305415209445
75,1.2765131435645314
76,1.274375306791806
77,1.2674455972832552
78,1.2622870354543279
79,1.2535199420243364
80,1.2482379859288781
81,1.2449577908306246
82,1.2397632580869395
83,1.2354819875186955
84,1.2254938103450068
85,1.2197345888243143
86,1.2189474211142863
87,1.2137548060731145
88,1.2124608755409647
89,1.2050833924677207
90,1.2002085177263209
91,1.1994138900483016
92,1.1884130015798187
93,1.1919032295448728
94,1.1828879873445144
95,1.181683381401002
96,1.174471869437404
97,1.1751603362244256
98,1.171636024827204
99,1.1660724518662793
