,train_loss
0,7.19767731409541
1,2.709078090522561
2,2.5552425699862193
3,2.47589732386351
4,2.447566931462954
5,2.389829891170126
6,2.351680740575212
7,2.3149370532408877
8,2.27465161559516
9,2.252575664340493
10,2.2241199208799407
11,2.204959173665123
12,2.175413371122922
13,2.162941004118897
14,2.12664700378512
15,2.10227577698478
16,2.074247952052384
17,2.06979826654299
18,2.023424746448448
19,2.008601120626472
20,1.9846010701312609
21,1.9689274659908729
22,1.9463072676522788
23,1.9240157377983433
24,1.9088489320429203
25,1.8859015124515335
26,1.8719162586363305
27,1.8540088258764769
28,1.828636087913992
29,1.8129413484207912
30,1.79132540240704
31,1.7699663365632992
32,1.7523490828711028
33,1.7433049657852207
34,1.7292233169794522
35,1.7085961082534316
36,1.6912415751851804
37,1.679686707478094
38,1.6553608994895022
39,1.6548453762075173
40,1.640841104653298
41,1.6232911765555944
42,1.6132643743994688
43,1.597349113618913
44,1.5848664292835124
45,1.5711409716304146
46,1.5568142472954805
47,1.5305066875733895
48,1.523609179778618
49,1.5207955313999661
50,1.502518745960342
51,1.4913019324018248
52,1.4854898754899188
53,1.4697210729108128
54,1.4682121042626946
55,1.4555377872311666
56,1.4398878663503298
57,1.4334669193375047
58,1.4214777764365851
59,1.4191201491079903
60,1.4007043785075035
61,1.3972022312497179
62,1.3843780332581865
63,1.3750397838227006
64,1.370914969816998
65,1.357153755744509
66,1.350825383124681
67,1.3495255460948747
68,1.3438494241223427
69,1.3352041158541863
70,1.326010668645955
71,1.3145066064163273
72,1.312808508136702
73,1.3030210100496016
74,1.301027889252397
75,1.2906423752880756
76,1.2838052592988316
77,1.2808701815206909
78,1.2765354468794612
79,1.270869922639388
80,1.2652435498041
81,1.2598290409948845
82,1.2548436538060732
83,1.2499572619835295
84,1.2410923918767909
85,1.2438900262217656
86,1.2341894784655365
87,1.2362149949120653
88,1.227110021308678
89,1.2198656355361683
90,1.2183623787476199
91,1.212875520520554
92,1.2106048720166653
93,1.2064065339123111
94,1.2034409146107943
95,1.1967651040498872
96,1.1982777610960216
97,1.1943494365394365
98,1.1868260621522961
99,1.1896261625693387
