
Dispositivo usado pelo Pytorch: cuda

*****************************************

-----> GRID 2:   hyperparameters
0             100
1            adam
2              32
3             0.2
4           1e-05
5             0.2

 LSTM =True


 option_overlap=True , option_causal=False ,option_dropout_lstm=0.2



--> Fold: 0

Format of train data: frames: 118655 , pressures: 118655 

Format of validation data: frames: 48176 , pressures: 48176 

Option shuffle: True

Begin of training: 2022-07-03 08:44:56

Epoch,train_loss,val_loss,lr
1,46.503646454914175,12.586410813219166,1e-05
2,5.924962891166397,2.3504604151461934,1e-05
3,2.1773690960077827,1.9012876290967797,1e-05
4,1.7086519939660032,2.014794169767716,1e-05
5,1.5810863893375973,2.0291370115221556,1e-05
6,1.5031966786946998,2.0285471638980717,1e-05
7,1.4517148198925094,2.0926289014030792,1e-05
8,1.4046786445335806,2.21179346929789,1e-05
9,1.3672694988726144,2.1985666275974602,1e-05
10,1.3316919132318024,2.2663012620659218,1e-05
11,1.308655431539751,2.2518104585806267,1e-05
12,1.2856242341180653,2.285684613997815,1e-05
13,1.2597886971720884,2.2761921635184006,1e-05
14,1.2445265107066235,2.3588210337188147,1e-05
15,1.2202043236806468,2.3855341770687755,1e-05
16,1.2049241013675809,2.3922274330057443,1e-05
17,1.1933166426883115,2.3823483652230792,1e-05
18,1.1658877663895482,2.3790353136338176,1e-05
19,1.1607388574662831,2.369288181791429,1e-05
20,1.1429884922267826,2.3576259148235694,1e-05
21,1.1295092070742165,2.3067977110122535,1e-05
22,1.1250517598617484,2.2928758164807754,1e-05
23,1.1095627550931912,2.3010791844602676,1e-05
24,1.0989699277653364,2.361541018657057,1e-05
25,1.0867409266280614,2.3433306825315388,1e-05
26,1.0834625511383227,2.3988491314584257,1e-05
27,1.0753597068382743,2.352095575753893,1e-05
28,1.0607339074018807,2.4077284927187628,1e-05
29,1.054007103447064,2.3526288467718888,1e-05
30,1.0424111018052853,2.351231200241322,1e-05
31,1.038810935338827,2.2772177543722485,1e-05
32,1.0292638015708893,2.273374355500499,1e-05
33,1.0186974858389728,2.34309586711359,1e-05
34,1.0143383168736158,2.2738142781224373,1e-05
35,1.0036831430828048,2.302862786407369,1e-05
36,0.9999623308877598,2.3013787535249652,1e-05
37,0.9910756930992077,2.307693202802011,1e-05
38,0.9814973590658416,2.2974917397313797,1e-05
39,0.9810838293765007,2.2367535641485574,1e-05
40,0.9682243275710712,2.2880592321644824,1e-05
41,0.9616026555993032,2.2865833316440005,1e-05
42,0.9528048993262122,2.2282023364545025,1e-05
43,0.9561501715036677,2.2719324495419437,1e-05
44,0.9494191132666393,2.2995480790719443,1e-05
45,0.9416282344048296,2.3240532108574206,1e-05
46,0.9327259347470057,2.32649740785588,1e-05
47,0.9289140742199143,2.3329702641472236,1e-05
48,0.9280915650368581,2.3354780178298116,1e-05
49,0.9188407115882831,2.3482862905345856,1e-05
50,0.9128098482016863,2.3853374405661043,1e-05
51,0.9126180279767798,2.3572942623859308,1e-05
52,0.9044230381414997,2.3988996028741782,1e-05
53,0.8963885468345774,2.303144947986039,1e-05
54,0.8948510607446994,2.3137101510243334,1e-05
55,0.8882263650037582,2.3365323201084167,1e-05
56,0.8918436462531263,2.355583177377757,1e-05
57,0.880739886635831,2.407072161131624,1e-05
58,0.8712280075351456,2.344191291014723,1e-05
59,0.8776723333513444,2.349188499021514,1e-05
60,0.8661550773329894,2.4110919704709644,1e-05
61,0.8616232359134555,2.3643979675070623,1e-05
62,0.8577578244084308,2.392331398946825,1e-05
63,0.8560590761092945,2.3800417391892013,1e-05
64,0.8503995276297155,2.370731829884281,1e-05
65,0.8470079047957894,2.3882369737773987,1e-05
66,0.8418734166751864,2.3406019930386615,1e-05
67,0.838180148899417,2.410271316024403,1e-05
68,0.8346525069489893,2.468240291365196,1e-05
69,0.829878915477445,2.403550566173162,1e-05
70,0.8303313393432288,2.440412304441781,1e-05
71,0.8232651467269252,2.4105733046298883,1e-05
72,0.8210301160767167,2.4905657818926326,1e-05
73,0.8133507705469217,2.489206849360775,1e-05
74,0.8129860334061606,2.4104756268105687,1e-05
75,0.8135599390107427,2.3928714577283072,1e-05
76,0.8024659606274248,2.4015685855174373,1e-05
77,0.8086412148004255,2.441398822322948,1e-05
78,0.7998680515554741,2.4437390934862755,1e-05
79,0.7948278728254193,2.426989845147128,1e-05
80,0.7883927125895823,2.441543701003058,1e-05
81,0.7883365400973475,2.491399649328981,1e-05
82,0.7828094809151074,2.442619897011941,1e-05
83,0.7822684611599433,2.4567111876271404,1e-05
84,0.7832843597587003,2.4164522301513305,1e-05
85,0.7770288815319922,2.4360312061506186,1e-05
86,0.7788336497292316,2.448247159924946,1e-05
87,0.7688905291473723,2.423874441748321,1e-05
88,0.7685817694599703,2.445097965879006,1e-05
89,0.7627260553822255,2.514636643065127,1e-05
90,0.7609800564439533,2.5285480483668623,1e-05
91,0.7606274707334131,2.4751502159860435,1e-05
92,0.7563023253159509,2.5316905003376315,1e-05
93,0.7532383423032203,2.5278808119605047,1e-05
94,0.7500237894215961,2.497631744545031,1e-05
95,0.7429860626775644,2.4909667661125896,1e-05
96,0.7469995875177942,2.4082351270920808,1e-05
97,0.7393051782659431,2.5488667944585393,1e-05
98,0.7413284870115515,2.4336963457270975,1e-05
99,0.7365935944721193,2.4946791614974626,1e-05
100,0.7376184586929886,2.5270058932948927,1e-05
End of training: 2022-07-03 09:19:57

Loss min training: 0.7365935944721193

Loss min val: 1.9012876290967797

Best epoch: 3

Correlação: (0.3713370874171694, 0.0)




--> Fold: 1

Format of train data: frames: 122682 , pressures: 122682 

