,train_loss
0,38.99839208017251
1,4.706289237897008
2,3.383751216919214
3,2.8340253535057465
4,2.694869714501586
5,2.6242173195749534
6,2.5818107197360285
7,2.556076202620346
8,2.498768125512242
9,2.4837605617078355
10,2.4682316047537802
11,2.44110739181935
12,2.4270149164399957
13,2.418104327263878
14,2.4002564503596377
15,2.3878909747960684
16,2.3771488166890684
17,2.3651788033802648
18,2.3429632188528804
19,2.3379977406441257
20,2.335278521102079
21,2.3174292593069823
22,2.3208091166092495
23,2.3019426570098624
24,2.3020901412624415
25,2.2964496162936516
26,2.2834173723445033
27,2.2822093843722704
28,2.2871370316837
29,2.2697064062344228
30,2.252950911648648
31,2.2466646540632293
32,2.244480439507534
33,2.248905711286591
34,2.242007491610907
35,2.2275754268598673
36,2.2105937574887253
37,2.2252251961266287
38,2.2065964375632423
39,2.1936159947042952
40,2.200359369893024
41,2.1873892141592894
42,2.191734081650248
43,2.189589689440253
44,2.1743300809053916
45,2.164763839239739
46,2.177507399514302
47,2.1544124994313867
48,2.147542747311798
49,2.161278463922092
50,2.140156419851379
51,2.1397959165147387
52,2.1457006031819534
53,2.122066599799051
54,2.1229079786554967
55,2.1103603879064936
56,2.1192194722116335
57,2.109862326081819
58,2.1082490993519514
59,2.0916967155221875
60,2.0999585447032896
61,2.084574822710891
62,2.082790760618144
63,2.0865849064380653
64,2.0715356145728916
65,2.067638479763069
66,2.054147236049059
67,2.064937204364225
68,2.0410995932992124
69,2.047899672142366
70,2.052201245598097
71,2.053826356280973
72,2.0396488386812908
73,2.0229407686351153
74,2.0286484715059347
75,2.022747491594013
76,2.0165951527584927
77,2.0204517506132254
78,2.0031945481334104
79,2.0076249038937126
80,1.9984084274562481
81,1.996764197897398
82,1.9913951288351954
83,1.994881803939975
84,1.997046541524296
85,1.9791943238830918
86,1.985557637372392
87,1.969177876841819
88,1.971273804912735
89,1.9674710041973844
90,1.9633838194202904
91,1.9597115161525125
92,1.9564269063219386
93,1.9571542311341326
94,1.94647757527858
95,1.943267221892185
96,1.9455924561963283
97,1.9160249895892216
98,1.9404330547847726
99,1.9199600726224946
