,train_loss
0,7.666231259605794
1,2.4962442858106173
2,2.4047594319175976
3,2.360847696898189
4,2.319987812910578
5,2.2897950399260765
6,2.2519573845502228
7,2.235965153930856
8,2.1945711630139115
9,2.157945007091336
10,2.150382627123325
11,2.116715379210289
12,2.0902305503831164
13,2.071520120306225
14,2.0417292259002866
15,2.018941831253316
16,1.9888629762117331
17,1.967352115725432
18,1.9421212005390331
19,1.9153136930330987
20,1.8835415696850153
21,1.8763593387158575
22,1.833153848973719
23,1.8255391381282318
24,1.802435313521449
25,1.7886023452248274
26,1.7641349243920754
27,1.7468545832654114
28,1.7167698230570418
29,1.6964915448539315
30,1.6736207843122415
31,1.6585278175733629
32,1.6381589326908277
33,1.617416756330584
34,1.5998659695413373
35,1.5742423350436736
36,1.5606503521793682
37,1.545073606697792
38,1.5274038335682574
39,1.514293041864022
40,1.5021813638659776
41,1.4803450149796766
42,1.4753754118405824
43,1.454280196757268
44,1.4340189800540961
45,1.4116587394214979
46,1.4052429048679944
47,1.3969787686406367
48,1.3728598866188009
49,1.357353306172683
50,1.352376570075336
51,1.3334547637962129
52,1.3170877088162676
53,1.3013711467006561
54,1.2874230043728598
55,1.279380339783773
56,1.268409790721351
57,1.2568086201577802
58,1.2499037060124016
59,1.2331761785739046
60,1.2209838804517874
61,1.2181919835675332
62,1.200844657065946
63,1.1904484470335837
64,1.1857135097344629
65,1.1705971330760265
66,1.156047489066224
67,1.1482175371002383
68,1.1343507493672271
69,1.1255874552728593
70,1.1189443673814405
71,1.1118900508037768
72,1.1005558013951637
73,1.0960637189529776
74,1.0918322532312665
75,1.0733895778197726
76,1.063923623842815
77,1.0559307963705682
78,1.0492068361888558
79,1.041656116917487
80,1.035149456106196
81,1.028012350791424
82,1.0203033091871385
83,1.0138964268181296
84,1.0073408404101278
85,1.0053813402712182
86,0.9961694791956478
87,0.9879627857160768
88,0.9868082209608864
89,0.9766009753038978
90,0.9666041137679808
91,0.9650244391620444
92,0.9538082239011068
93,0.9506145373325809
94,0.9464244607257052
95,0.9410421310657148
96,0.9410140414171025
97,0.930012955213298
98,0.9271459064221846
99,0.9200397417165775
