,train_loss
0,7.7201763290144445
1,2.6128739069397753
2,2.4915156152986557
3,2.441830382811056
4,2.408130747735102
5,2.379942057149414
6,2.329503128505877
7,2.304514735394035
8,2.28495512974157
9,2.2539132573625027
10,2.2448377339217567
11,2.204855943771849
12,2.1672732071862466
13,2.1483924167578428
14,2.1136799218228672
15,2.0988483389260018
16,2.0596904730139522
17,2.04469589520461
18,2.027006762545633
19,1.9888464531692842
20,1.9773095081823588
21,1.949448134436043
22,1.9247979615517958
23,1.9029606345282857
24,1.891614664070915
25,1.863457251224719
26,1.846708003775249
27,1.8231933379004457
28,1.799386617161202
29,1.7787392090533625
30,1.7619739245673414
31,1.7456274653768373
32,1.7250483733215376
33,1.7055774890580035
34,1.687892786036263
35,1.6662243084181045
36,1.6544967561453612
37,1.6392615388570915
38,1.6200360747798517
39,1.611157550172554
40,1.590686730160306
41,1.573812586100039
42,1.563439769862196
43,1.5487779157422867
44,1.5308561165146672
45,1.5055464993621694
46,1.5009484330269611
47,1.4830198760211935
48,1.4716313562980485
49,1.4596168339271893
50,1.4455176328853125
51,1.4320302886057048
52,1.419921539463996
53,1.4044461745479746
54,1.3941637868841663
55,1.380918548855783
56,1.3697300399311634
57,1.3587047346212517
58,1.3463663269230504
59,1.3380893084023142
60,1.3286315472658377
61,1.3199481326361382
62,1.3069555559483825
63,1.2950252806606692
64,1.2896396383761455
65,1.2714729883883569
66,1.2662075447269387
67,1.2491581900048576
68,1.2368622908113345
69,1.2295690922727232
70,1.2285288863241146
71,1.2243353662241798
72,1.2108061505046503
73,1.2049281187169891
74,1.1938360343489611
75,1.1894274676832604
76,1.1748074497182475
77,1.1666343128701742
78,1.163705390043894
79,1.1564187919521984
80,1.14694599761066
81,1.1426105810177487
82,1.1330980284350765
83,1.1283843881228546
84,1.122173942194289
85,1.1093889697131512
86,1.1080279766804164
87,1.1011006640563343
88,1.10164990693151
89,1.0894883840002185
90,1.082435789327954
91,1.0738312747157495
92,1.0758377774180812
93,1.0661018296887106
94,1.0633870493891673
95,1.059578317546705
96,1.0512145861711284
97,1.0506587472121778
98,1.0406883911351474
99,1.0331594194815177
