,train_loss
0,9.081800020630546
1,4.3403333604846
2,4.104722901140503
3,3.953983902914959
4,3.8467473389244327
5,3.744691712467447
6,3.6296284221336794
7,3.495644039887748
8,3.3806935128312463
9,3.275528125677693
10,3.19545239521404
11,3.114345047920186
12,2.9943302848033677
13,2.91668984415531
14,2.8295826248811617
15,2.7476502066696695
16,2.6620457782951976
17,2.5949133749667754
18,2.5194533118352087
19,2.4302206557227413
20,2.3552224222055647
21,2.291061410874311
22,2.2213460179081777
23,2.146846239794909
24,2.075342347392367
25,2.0217944747163945
26,1.9602436711414142
27,1.9108724474482497
28,1.8414757415170282
29,1.7772763212434577
30,1.7354415071434113
31,1.6779823048504345
32,1.6277301365412977
33,1.5720944351503754
34,1.5293678650394749
35,1.4930743169327612
36,1.4424004013714813
37,1.395824691756423
38,1.359305459540429
39,1.316434974689735
40,1.286723261877909
41,1.2350078058625684
42,1.2086787286323812
43,1.1732783972589402
44,1.1405699783378944
45,1.115270849613789
46,1.0788398692593613
47,1.0538750096953517
48,1.0235689814944455
49,1.002346912375653
50,0.9760982490761625
51,0.9490162548951313
52,0.9280879265584239
53,0.9100910458182956
54,0.8841671573904444
55,0.8675670692770963
56,0.8501308764411539
57,0.8292741242705597
58,0.8129562536168031
59,0.7961855887391425
60,0.7818100937631363
61,0.7668605889739272
62,0.7578905944087886
63,0.7381649585792797
64,0.7267794065101247
65,0.7141011864251688
66,0.7089248400291307
67,0.6969504297344028
68,0.6888757297188285
69,0.6780992805176671
70,0.664220201863492
71,0.6609461612750541
72,0.6542989968169901
73,0.6439984749766987
74,0.6366672013715473
75,0.6279607223435862
76,0.6200796288718293
77,0.6141318956068741
78,0.6093633651372186
79,0.607198449033073
80,0.5988421554863792
81,0.5902007559196271
82,0.5872709313727411
83,0.5807934531288864
84,0.5756254524961041
85,0.5727268948874485
86,0.5692134405788025
87,0.5617742713319832
88,0.5589334763908791
89,0.5549626082482189
90,0.5488394935775296
91,0.5495433067753499
92,0.5428593209950945
93,0.5390200517595867
94,0.531286802600978
95,0.5305338969619678
96,0.5309615540202843
97,0.5221982391824164
98,0.5241687963843463
99,0.5163827821487063
