,train_loss
0,7.580155926927185
1,2.7018390079772283
2,2.5367554766877247
3,2.484094246838471
4,2.437723338231912
5,2.395820918365608
6,2.3597206985658845
7,2.3159625742152845
8,2.2949406835629795
9,2.2661570414167587
10,2.2445884804383933
11,2.2025882449931045
12,2.177951981724188
13,2.1636200799122434
14,2.1239081253674286
15,2.1237653598330457
16,2.086566815019647
17,2.060600988922058
18,2.05355516807728
19,2.006313658041172
20,1.999367664660671
21,1.9798141574273647
22,1.9501661757577933
23,1.9318377774699422
24,1.9166293405854298
25,1.8961196151102164
26,1.8810997910831961
27,1.8654430919503568
28,1.841660103617691
29,1.8267573400704593
30,1.7969019998189848
31,1.7897587455888653
32,1.7667092361647903
33,1.7457557023751864
34,1.7352193908861446
35,1.7135483996254222
36,1.6977451787241369
37,1.6844230875391586
38,1.6707693857570565
39,1.6543380349375663
40,1.6451437105471074
41,1.6311490452775108
42,1.6116902757418006
43,1.607700777269104
44,1.5907206774702174
45,1.5658153697829134
46,1.5514908599397328
47,1.5455281368738818
48,1.5433472780177488
49,1.5212026289102063
50,1.510656203496918
51,1.496618717317738
52,1.4841364207758065
53,1.4750972902949475
54,1.4581267664329436
55,1.4510971478659958
56,1.4444651382113265
57,1.434001591946728
58,1.4201419039904273
59,1.407527957032607
60,1.406830417365188
61,1.393113637049401
62,1.3890063532705514
63,1.374969313521486
64,1.3613573063002173
65,1.3593865840918455
66,1.352617494205916
67,1.3426449910263556
68,1.3343801158001076
69,1.3325470744070405
70,1.3160567195287616
71,1.3089105245573827
72,1.3036322473764697
73,1.2898275740798628
74,1.2917449929493219
75,1.2826236333646852
76,1.276950410960976
77,1.26889637725159
78,1.260041101779279
79,1.2596009135807769
80,1.252058263785339
81,1.2476695571721026
82,1.2387602377903866
83,1.2338035116684196
84,1.23091708336065
85,1.2239932243622373
86,1.2228089353571443
87,1.213741058377074
88,1.208612517194401
89,1.2049140823103663
90,1.2015609409930466
91,1.196145633472089
92,1.191577101693361
93,1.182843573906665
94,1.1784097838320582
95,1.1767815861492212
96,1.1724463641737755
97,1.1729138927781302
98,1.1649353094582942
99,1.162212840017514
