,train_loss
0,42.56264625629964
1,6.704477493578089
2,4.9806473482738225
3,4.517073106772296
4,4.375137614141839
5,4.320880650570687
6,4.225246281086841
7,4.199394525598309
8,4.1195403580708465
9,4.122141528947855
10,4.110311499318932
11,4.070454255258403
12,4.0183537296632235
13,4.04975752962362
14,4.0076451755388
15,3.978092529231205
16,3.9826719584681474
17,3.966200339604155
18,3.931935889227061
19,3.9023503464752696
20,3.919844863408736
21,3.9040449161650956
22,3.87982974492375
23,3.863764013402747
24,3.8408104458668166
25,3.8353741391539256
26,3.8208305291531213
27,3.8185320070928617
28,3.799963847516911
29,3.7686536038182017
30,3.7461717673649333
31,3.754070046643579
32,3.739884958351418
33,3.7281456951972265
34,3.69521101156276
35,3.697071380262076
36,3.6863964240798897
37,3.689754256844907
38,3.669994110742799
39,3.650396177951238
40,3.6179550574858137
41,3.62902152878438
42,3.620102706891329
43,3.60175552755452
44,3.590198362702883
45,3.5901822845942
46,3.555204301649037
47,3.527791163539365
48,3.5516279770592285
49,3.54813077114533
50,3.5241794854093653
51,3.5200657275591563
52,3.4911399440445967
53,3.501766802223844
54,3.469505643842101
55,3.463047811643664
56,3.4331407195283106
57,3.439460655688889
58,3.413968567390309
59,3.4428116420461965
60,3.398255253993373
61,3.406056874026818
62,3.3860624528928325
63,3.3886481599756046
64,3.358808167201063
65,3.340163893672951
66,3.355498279263999
67,3.315807582382775
68,3.3244633632691714
69,3.3419106489518793
70,3.3041781335102476
71,3.291678610324486
72,3.2817186559689313
73,3.2720633661266336
74,3.277610811697634
75,3.271861816608777
76,3.2447876889693696
77,3.229965412622604
78,3.2349336855840285
79,3.1843000126301804
80,3.2177941935700716
81,3.204481299870121
82,3.1593380929102723
83,3.157533830140559
84,3.1729009472587206
85,3.174012951103318
86,3.1520365134110406
87,3.1344662084795725
88,3.124607287483524
89,3.1187003018165815
90,3.1068766384179765
91,3.092499288050424
92,3.0949437988517334
93,3.070599031974943
94,3.0599965784826235
95,3.0650347773923827
96,3.0457233653132527
97,3.05740593527991
98,3.043893169522583
99,3.0527151370183923
