,train_loss
0,8.38646901030658
1,2.613470651236945
2,2.430190044197526
3,2.355407140048553
4,2.2786011575160523
5,2.2180163976216636
6,2.190591726346464
7,2.1256199517967787
8,2.091620131867698
9,2.0609378291807348
10,2.017695968669922
11,1.9766291054919871
12,1.9601254650077908
13,1.9094543970831317
14,1.8881140298162689
15,1.8518573171274835
16,1.826605332028309
17,1.7937610046042378
18,1.7737139793695456
19,1.7446625732079502
20,1.723188069973568
21,1.6858210495038748
22,1.6678650318476353
23,1.6396249255403268
24,1.6128659270126713
25,1.5809936887813838
26,1.568247749167708
27,1.5383693799528995
28,1.5156318271835718
29,1.4948260824140787
30,1.473075712415773
31,1.4399130047815873
32,1.4184660228107622
33,1.393556429376103
34,1.3703551947372954
35,1.3538616341250667
36,1.3404744076232231
37,1.3062659205324036
38,1.2912914501257033
39,1.2691669384491318
40,1.2474655209411842
41,1.2351594943419388
42,1.2191170335726826
43,1.1834266217789182
44,1.1709417315622361
45,1.1527657804642768
46,1.1294695100671945
47,1.1146237901766658
48,1.0919868211939636
49,1.082485043111616
50,1.0582448459587632
51,1.0374266164986687
52,1.0281252209347735
53,1.0033629510895878
54,0.9813256591656713
55,0.9696611725156551
56,0.9530210446062665
57,0.9280503472174836
58,0.9179951717725804
59,0.9030379660781594
60,0.8881331249617731
61,0.8743244200271079
62,0.8579746491829975
63,0.8358867894850845
64,0.827941862043417
65,0.8050851472014682
66,0.7967013746826449
67,0.7798992483198152
68,0.7683233370506982
69,0.7515046319682482
70,0.7406567274247277
71,0.7260576137308162
72,0.7150050895901668
73,0.7026630789611963
74,0.6855007689301562
75,0.6750144071621001
76,0.6607720502162475
77,0.6469784486323409
78,0.6385722620475777
79,0.6277093680758526
80,0.6132551395878568
81,0.6034817719906949
82,0.5918726446909872
83,0.5783795036048274
84,0.567853427187171
85,0.5571929534687977
86,0.5447504019394139
87,0.5371491829127687
88,0.5320591163064531
89,0.5203332384346362
90,0.5068055213836042
91,0.501328386090808
92,0.49170899588338385
93,0.4856699424651726
94,0.4744851638601002
95,0.46476641497438176
96,0.4562363465444492
97,0.4536308293062332
98,0.44429498867596756
99,0.43658114218816535
