,train_loss
0,36.43567605549183
1,4.3282818379960695
2,3.1238848483916466
3,2.7058826657756883
4,2.5841590542736292
5,2.504017017985549
6,2.45136200048925
7,2.407369141925081
8,2.3744642776873026
9,2.364280213308978
10,2.3345264267874177
11,2.325061737444648
12,2.292855249925028
13,2.2763157259988054
14,2.260349922532197
15,2.2630302765552037
16,2.2448862530278344
17,2.216763533577061
18,2.2293238232152564
19,2.209295792003405
20,2.193996231738343
21,2.176561771117653
22,2.1708379270921085
23,2.159816449815986
24,2.1512034013203465
25,2.1707781288881125
26,2.1279658812685147
27,2.124092472416694
28,2.1453206319185987
29,2.110161023450861
30,2.1129516075102575
31,2.0999374903824926
32,2.1097504341088946
33,2.097558876979398
34,2.0706169687401292
35,2.056457205367224
36,2.0608891650794487
37,2.0588031188472535
38,2.0456462783842166
39,2.0381157108108727
40,2.037281771977699
41,2.0447652683951234
42,2.0272843959141573
43,2.0180572776223116
44,2.008736603881475
45,2.014335888444386
46,1.9929034143591886
47,1.9995123052497068
48,1.9750414678152588
49,1.9843123461395873
50,1.992742815330274
51,1.9727726029276786
52,1.9612744270487843
53,1.949556261502761
54,1.9512217776348664
55,1.9516172858701688
56,1.9535099214457274
57,1.932512130396223
58,1.9364021099840725
59,1.9064977885812184
60,1.919339300212605
61,1.9192158107284416
62,1.9118899819851591
63,1.911673171389991
64,1.9044508231771358
65,1.8975909008064753
66,1.8899637612766411
67,1.8899381028501678
68,1.8849160757120387
69,1.8747462985123238
70,1.8796380164724922
71,1.8683235864718901
72,1.8472288731334683
73,1.8560136628837196
74,1.8606397543027424
75,1.8475090538898384
76,1.8468934118390457
77,1.8411539710089553
78,1.831349693561635
79,1.8384999016929329
80,1.829598590124988
81,1.8218517177471913
82,1.8094491497138019
83,1.8069786377311088
84,1.8142648358293485
85,1.821652652167971
86,1.805793804667479
87,1.7973476763313585
88,1.7969492885456195
89,1.7791328285634394
90,1.7802609786943329
91,1.7780707754180642
92,1.769351458781693
93,1.77201930639845
94,1.7600636378168246
95,1.7528966840047018
96,1.7528862312742985
97,1.7581876612905336
98,1.7532340836561007
99,1.7432853068265222
