,train_loss
0,8.566055173732526
1,2.660255035582582
2,2.4852039472823995
3,2.4054105186298047
4,2.325939681026393
5,2.277639790450406
6,2.2366097959858133
7,2.196874473621373
8,2.138513839006869
9,2.1089486897943814
10,2.0672076705663742
11,2.0470716100682065
12,2.0033877770946797
13,1.958805897017224
14,1.9294614282747704
15,1.9027854317324624
16,1.8751485428974553
17,1.8500279670323434
18,1.8055891268637623
19,1.7899278402880148
20,1.7638711989489955
21,1.7255155315523503
22,1.7053076787143082
23,1.682168884480658
24,1.6587176364672722
25,1.618230124028335
26,1.5999993897158538
27,1.5706644376819012
28,1.5571206625054197
29,1.5272717958743236
30,1.5121823881539393
31,1.4798773392464968
32,1.4579539568904698
33,1.4345420341369421
34,1.410509791609631
35,1.390656034064209
36,1.3698190029430601
37,1.3491602722957075
38,1.3338456388476068
39,1.3110919378848032
40,1.2919971326976487
41,1.2677148452395501
42,1.2573927313173545
43,1.2270513447030258
44,1.2203271823123643
45,1.1912592721669848
46,1.179177675010817
47,1.1548683123280623
48,1.1358620255873084
49,1.1238955773562629
50,1.1005773247786335
51,1.0791335985389556
52,1.069204778163512
53,1.0470412095136679
54,1.0383873689411864
55,1.0135990162166406
56,0.9995091724179274
57,0.9853657437743905
58,0.9618236976411972
59,0.9524393703724972
60,0.9341488462239601
61,0.9178148667586397
62,0.9075035723506599
63,0.8828286769861221
64,0.8764596225782901
65,0.8582769832705132
66,0.8446160742544383
67,0.8298935410227564
68,0.805704233042119
69,0.8031237171374492
70,0.7897437303154556
71,0.7759923179851145
72,0.7626351588860504
73,0.75050514566076
74,0.7374712770635431
75,0.7222918507661606
76,0.7130975243762466
77,0.7027348511872491
78,0.6839631715112974
79,0.6770739313837713
80,0.6670028314835923
81,0.6568295877208519
82,0.6445462661636226
83,0.6354113410852951
84,0.6199555164253429
85,0.6072896030206488
86,0.6040997399593215
87,0.5946500755213164
88,0.5814829187448582
89,0.5757633849800348
90,0.5657383189163385
91,0.5657215112630071
92,0.5492468458404661
93,0.5336221457393241
94,0.5333114962482174
95,0.5192910641351438
96,0.5103361013476186
97,0.5092392766563372
98,0.49872833614827444
99,0.49177990157652307
