,train_loss
0,9.010724290980233
1,2.5971705497127484
2,2.4046046355115163
3,2.3479801626925996
4,2.2797369373236016
5,2.234023210492077
6,2.1972355788277795
7,2.1428063088404556
8,2.1006603240243433
9,2.069001655034885
10,2.0470928967373294
11,2.016989951377662
12,1.9705870321329342
13,1.9430768013864506
14,1.9113692621199974
15,1.8758048205433742
16,1.8507932255449038
17,1.809182498684213
18,1.792962804636739
19,1.762642465204994
20,1.7311179068420977
21,1.7197086543843165
22,1.6930017067616399
23,1.6601003404775003
24,1.6409821562437297
25,1.6105880015217184
26,1.585393165196798
27,1.572111888719687
28,1.549733130165089
29,1.5117301316002287
30,1.4908142907214292
31,1.4733528864875485
32,1.4523413092019781
33,1.4428684188504721
34,1.4007365418647897
35,1.3841189805106333
36,1.3706800030293624
37,1.3382767250140926
38,1.3298776456596506
39,1.3046787521429337
40,1.2824810425328281
41,1.2630823899157344
42,1.2459178004070528
43,1.2270658063354065
44,1.2091025269984454
45,1.1927875248100155
46,1.1712695223930176
47,1.1463359318472361
48,1.1306486327409755
49,1.1236296651828637
50,1.1025174378768556
51,1.0830676926598426
52,1.0700255196609205
53,1.0446655443367627
54,1.0411456747109507
55,1.0141098197273768
56,0.9964931828148531
57,0.98285131768729
58,0.971062506498034
59,0.9515954170298985
60,0.9411437298745101
61,0.9250247572331467
62,0.9089021707750553
63,0.8970629563313922
64,0.8796832915006659
65,0.8655972615681207
66,0.8488049363422864
67,0.8372294118786063
68,0.829000673948209
69,0.8151207201861937
70,0.7933348581058619
71,0.7863446396921574
72,0.7686496642847428
73,0.7595008818169198
74,0.7478330082472113
75,0.7328706917155533
76,0.7216466030345735
77,0.7139519514012169
78,0.6983283087319215
79,0.6885571872812272
80,0.6745536800424166
81,0.6632685012720131
82,0.6524392066685671
83,0.6455655014450624
84,0.6316110810539896
85,0.6187120215177767
86,0.6084507510276386
87,0.6040013043745134
88,0.5869972180156781
89,0.5791925840635808
90,0.5724048592308761
91,0.5597973605639152
92,0.555561271333588
93,0.5463235270077337
94,0.5315900897146864
95,0.5314187516013177
96,0.5163517120659997
97,0.5079703990846783
98,0.49893317534545695
99,0.496904728594323
