,train_loss
0,38.22166190164099
1,6.077368472519129
2,4.810551053819128
3,4.4153193741849135
4,4.306198757414213
5,4.1849713222263105
6,4.119520009460078
7,4.074408440995718
8,4.03026302647931
9,4.025108558529567
10,3.9749963123086194
11,3.9749646888933357
12,3.9194565586914916
13,3.904829715799845
14,3.8890094696369255
15,3.8805093241066464
16,3.8341417625159653
17,3.8260455810669716
18,3.8204241462694104
19,3.785708006050437
20,3.7779623126217876
21,3.7540887572516004
22,3.729233434547545
23,3.7426981814214417
24,3.6815446243899617
25,3.7150081297293864
26,3.6609683132833073
27,3.66620288578779
28,3.657344599664938
29,3.612185863055857
30,3.6196502988391015
31,3.607294761425565
32,3.610501348845085
33,3.574456537930925
34,3.544222570729299
35,3.5276550319426496
36,3.5513969590101953
37,3.5285427146761856
38,3.484262915527757
39,3.4731967085828876
40,3.483945007398912
41,3.458359093152498
42,3.4412894680856887
43,3.4277669837997764
44,3.4186011133096383
45,3.3966307194488663
46,3.4029283633226646
47,3.3931062126421927
48,3.3652514991997737
49,3.380426817181847
50,3.374906715395182
51,3.349077552946622
52,3.3398209623877264
53,3.294334313728512
54,3.289014298791417
55,3.295079148387947
56,3.2892476505885724
57,3.2711630592153336
58,3.248737200907736
59,3.2309283488793135
60,3.238997716086916
61,3.215250521534901
62,3.2033385922857582
63,3.1962057989765147
64,3.188800421977643
65,3.1875324003598835
66,3.1754201873802423
67,3.1693090842298077
68,3.131758669352433
69,3.1335130590540428
70,3.138362597159331
71,3.1218671775740265
72,3.1110863413912484
73,3.087247644635028
74,3.064828282855627
75,3.0662438637228435
76,3.0599301449032903
77,3.0497357501870046
78,3.0255311074728493
79,3.018527341316235
80,3.0270688305211775
81,3.004572343455726
82,3.0080875701275165
83,2.9777736099961145
84,2.995165057604571
85,2.9951656408523
86,2.959116102843399
87,2.9335482223733185
88,2.921763896719363
89,2.916172287772351
90,2.916897058452526
91,2.9019206064782335
92,2.883842819746963
93,2.8764575263524153
94,2.8752745983526125
95,2.8626856151270794
96,2.8431854443853775
97,2.8303484453024392
98,2.8543449202176263
99,2.815482056316494
