,train_loss
0,6.460312886166465
1,2.975653437643183
2,2.8928556418697506
3,2.8623655394716665
4,2.791937721063164
5,2.783375531244428
6,2.7320832327225824
7,2.7030659676807445
8,2.6617333432145927
9,2.637460263917806
10,2.6213185174094735
11,2.5860801127728177
12,2.5572347032806584
13,2.535110232249243
14,2.5184052295625836
15,2.462497024788358
16,2.469829119272171
17,2.4196847424403125
18,2.4288943729384402
19,2.4054314100985503
20,2.362303474766673
21,2.349015103145239
22,2.329403177504482
23,2.294585549209767
24,2.286462009064081
25,2.2540930237043257
26,2.241571863104966
27,2.220353943617789
28,2.2055911574741
29,2.1772651627466577
30,2.1504558532694626
31,2.1302634231055104
32,2.129799645220671
33,2.1051153864967365
34,2.0859020347246164
35,2.0723174570538605
36,2.0543178965188083
37,2.0344238533284233
38,2.0249945906507136
39,1.9971112712719428
40,1.9826891821762007
41,1.9738295922104632
42,1.9636245518667939
43,1.9489262461299703
44,1.9372966041594029
45,1.91693796886184
46,1.8939829451004464
47,1.8767209199471109
48,1.8808192412185736
49,1.8628333714034304
50,1.854889753968935
51,1.8343868594931876
52,1.823388835759424
53,1.8002052675553077
54,1.805599315304257
55,1.7817127799184673
56,1.7766234372595369
57,1.760056330910662
58,1.7500991232760552
59,1.7388678340372623
60,1.7223035183088837
61,1.7084363002618486
62,1.707198863688889
63,1.6960384971715605
64,1.68706351319609
65,1.6752754333203324
66,1.668632989968821
67,1.6651505039052568
68,1.6512725661451324
69,1.6486727629021902
70,1.6379631183430008
71,1.624390148029353
72,1.6156312312472534
73,1.6099358206505923
74,1.5979716637416448
75,1.596380915834991
76,1.581756846195467
77,1.5771140045927126
78,1.5761177461904043
79,1.5586683760427607
80,1.5555019489588107
81,1.5490869798200424
82,1.5450563761284137
83,1.5393752040868822
84,1.5384320225352406
85,1.5202704293032006
86,1.529565356279278
87,1.5167470440326647
88,1.5170917052286634
89,1.5040818449279505
90,1.502368744336645
91,1.4940464700596259
92,1.4824256177751545
93,1.486647989100925
94,1.4812613839159494
95,1.4776733994480935
96,1.4641450642951854
97,1.4696016828931886
98,1.4605620853444128
99,1.4620506670812343
