,train_loss
0,7.747481982441036
1,2.5764405797251326
2,2.4323318611911944
3,2.375304324024823
4,2.308493409649691
5,2.269773417271463
6,2.226831561222746
7,2.177083258094159
8,2.140849559653007
9,2.098771943791236
10,2.065787932547359
11,2.0398716044865006
12,2.0001481455047845
13,1.962817631884615
14,1.9392265605010253
15,1.8965276590365534
16,1.8784392727787207
17,1.8457828127575817
18,1.8158083848357276
19,1.78010147599152
20,1.7536504979089602
21,1.7434187611186909
22,1.7022181499934188
23,1.6799544460708868
24,1.646510287953922
25,1.629009102632713
26,1.605846592471852
27,1.579204692366773
28,1.5503234727087989
29,1.5361925576169313
30,1.5191751773989028
31,1.483212429834856
32,1.4593306052891244
33,1.4529978594553514
34,1.4201886981995697
35,1.3953547459437148
36,1.3839438632513026
37,1.3581343604683358
38,1.3370326281909992
39,1.304818581379418
40,1.3022386932753818
41,1.2722239023007242
42,1.2520225392215387
43,1.2339162902631902
44,1.215869509495142
45,1.195371638897683
46,1.1775993939723184
47,1.1695685560360383
48,1.1416505588622559
49,1.123026068541842
50,1.1135337519688893
51,1.0950589795534773
52,1.0789124669852266
53,1.0574171502150838
54,1.0440101012137328
55,1.030281551155709
56,1.0174594871324
57,0.9954976808034707
58,0.9855103997644494
59,0.967103828000317
60,0.9526541021388518
61,0.9462474430859714
62,0.9314243677191807
63,0.9111256032500223
64,0.9072344523525877
65,0.8936553989608682
66,0.8749383900013953
67,0.8619311841839982
68,0.8535226216981717
69,0.8385818457277942
70,0.8219868328529525
71,0.8190360589714801
72,0.8067466357571
73,0.7922971466572596
74,0.7863907736811856
75,0.7732676395910397
76,0.7651557624744437
77,0.7550125813389753
78,0.7447023007145452
79,0.7301914624898393
80,0.7219402353230904
81,0.715759368780907
82,0.7061831824422149
83,0.6954981989502068
84,0.6867608804607516
85,0.6784306473303201
86,0.6687766834485044
87,0.6648140630601084
88,0.657305165941317
89,0.6487755419760296
90,0.6396269170635445
91,0.6268486270409841
92,0.6246589672318813
93,0.6159196151809392
94,0.6071056307193518
95,0.6030317567991832
96,0.5987241615377431
97,0.5889277599176461
98,0.58275398278798
99,0.5805877062798772
